;
ccf8;co2
1-03-004-01;77,4
1-03-004-02;77,4
1-03-005-01;74,1
1-03-005-02;74,1
1-03-005-03;74,1
1-03-006-01;56,1
1-03-006-02;56,1
1-03-006-03;56,1
1-03-009-01;112
1-03-009-02;112
1-03-009-03;112
1-03-009-08;112
1-03-010-01;63,1
1-03-010-02;63,1
1-03-010-03;63,1
1-03-011-01;112
1-03-012-01;91,7
2-03-001-01;74,1
2-03-002-01;56,1
2-03-003-01;69.30
1-02-001-01;98.30
1-02-001-04;98.30
1-02-001-17;98.30
1-02-002-01;96.10
1-02-002-02;96.10
1-02-002-03;96.10
1-02-002-04;96.10
1-02-002-05;96.10
1-02-002-06;96.10
1-02-002-12;96.10
1-02-002-13;96.10
1-02-002-17;96.10
1-02-002-18;96.10
1-02-002-19;96.10
1-02-002-21;96.10
1-02-002-22;96.10
1-02-002-23;96.10
1-02-002-24;96.10
1-02-002-25;96.10
1-02-002-26;96.10
1-02-002-29;96.10
1-02-003-00;101.00
1-02-003-01;101.00
1-02-003-02;101.00
1-02-003-03;101.00
1-02-003-04;101.00
1-02-003-06;101.00
1-02-003-07;101.00
1-02-004-01;77.40
1-02-004-02;77.40
1-02-009-05;112.00
1-02-009-06;112.00
1-02-009-07;112.00
1-02-009-08;112.00
1-02-009-11;112.00
1-02-009-12;112.00
1-02-010-01;63.10
1-02-010-02;63.10
1-02-010-03;63.10
1-02-011-01;112.00
1-02-012-01;91.70
1-02-012-02;91.70
1-02-013-02;77.40
1-02-014-01;56.10
3-90-006-89;56.10
2-02-001-01;74.10
2-02-001-02;74.10
2-02-001-08;74.10
2-02-001-09;74.10
2-02-002-01;56.10
2-02-002-02;56.10
2-02-002-03;56.10
2-02-002-08;56.10
2-02-002-09;56.10
2-02-003-01;69.30
2-02-005-01;73.30
2-02-009-01;71.90
2-02-009-02;71.90
2-02-017-01;69.30
2-04-004-02;74.10
2-02-002-52;56.10
2-02-002-54;56.10
2-02-004-01;74.10
2-02-004-02;69.30
2-02-017-02;69.30
5-01-001-01;91,7
5-01-001-02;91,7
5-01-001-04;91,7
5-01-001-05;91,7
5-01-001-06;91,7
5-01-001-07;91,7
5-01-005-05;91,7
5-02-001-01;91,7
5-02-001-02;91,7
5-02-001-03;91,7
5-02-003-01;91,7
5-02-003-02;91,7
5-02-005-01;91,7
5-02-005-03;91,7
5-02-005-05;91,7
5-03-001-01;91,7
5-03-001-02;91,7
5-03-001-03;91,7
5-03-001-05;91,7
5-03-001-11;91,7
5-03-001-12;91,7
5-03-001-13;91,7
5-03-001-15;91,7
5-03-005-01;91,7
1-02-001-01;98.30
1-02-001-04;98.30
1-02-001-17;98.30
1-02-002-01;96.10
1-02-002-02;96.10
1-02-002-03;96.10
1-02-002-04;96.10
1-02-002-05;96.10
1-02-002-06;96.10
1-02-002-12;96.10
1-02-002-13;96.10
1-02-002-17;96.10
1-02-002-18;96.10
1-02-002-19;96.10
1-02-002-21;96.10
1-02-002-22;96.10
1-02-002-23;96.10
1-02-002-24;96.10
1-02-002-25;96.10
1-02-002-26;96.10
1-02-002-29;96.10
1-02-003-00;101.00
1-02-003-01;101.00
1-02-003-02;101.00
1-02-003-03;101.00
1-02-003-04;101.00
1-02-003-06;101.00
1-02-003-07;101.00
1-02-004-01;77.40
1-02-004-02;77.40
1-02-004-03;77.40
1-02-004-04;77.40
1-02-004-05;77.40
1-02-005-01;74.10
1-02-005-02;74.10
1-02-005-03;74.10
1-02-005-04;74.10
1-02-006-01;56.10
1-02-006-02;56.10
1-02-006-03;56.10
1-02-006-04;56.10
1-02-007-01;57.6
1-02-007-04;57.6
1-02-007-07;57.6
1-02-007-10;57.6
1-02-007-99;57.6
1-02-008-02;94.6
1-02-008-04;94.6
1-02-009-01;112.00
1-02-009-02;112.00
1-02-009-03;112.00
1-02-009-04;112.00
1-02-009-05;112.00
1-02-009-06;112.00
1-02-009-07;112.00
1-02-009-08;112.00
1-02-009-11;112.00
1-02-009-12;112.00
1-02-010-01;63.10
1-02-010-02;63.10
1-02-010-03;63.10
1-02-011-01;112.00
1-02-012-01;91.70
1-02-012-02;91.70
1-02-013-02;77.40
1-02-014-01;56.10
3-90-006-89;56.10
2-02-001-01;74.10
2-02-001-02;74.10
2-02-001-08;74.10
2-02-001-09;74.10
2-02-002-01;56.10
2-02-002-02;56.10
2-02-002-03;56.10
2-02-002-08;56.10
1-01-001-01;98,3
1-01-001-02;98,3
1-01-002-01;96,1
1-01-002-02;96,1
1-01-002-03;96,1
1-01-002-04;96,1
1-01-002-05;96,1
1-01-002-11;96,1
1-01-002-12;96,1
1-01-002-15;96,1
1-01-002-17;96,1
1-01-002-18;96,1
1-01-002-21;96,1
1-01-002-22;96,1
1-01-002-23;96,1
1-01-002-24;96,1
1-01-002-25;96,1
1-01-002-26;96,1
1-01-002-35;96,1
1-01-002-37;96,1
1-01-002-38;96,1
1-01-003-00;101
1-01-003-01;101
1-01-003-02;101
1-01-003-03;101
1-01-003-04;101
1-01-003-06;101
1-01-003-16;101
1-01-003-17;101
1-01-003-18;101
1-01-004-01;77,4
1-01-004-05;77,4
1-01-005-01;74,1
1-01-006-01;56,1
1-01-006-02;56,1
1-01-006-04;56,1
1-01-007-01;57,6
1-01-007-02;57,6
1-01-007-04;57,6
1-01-008-01;94,6
1-01-008-18;94,6
1-01-009-01;112
1-01-009-02;112
1-01-009-03;112
1-01-009-08;112
1-01-009-11;112
1-01-009-12;112
1-01-010-01;63,1
1-01-010-02;63,1
1-01-012-01;91,7
1-01-012-02;91,7
1-01-012-05;91,7
1-01-012-07;112
1-01-013-02;77,4
1-01-013-04;95,3
2-01-009-02;71,9
2-01-001-01;74,1
2-01-001-08;74,1
2-01-001-09;74,1
2-01-002-01;56,1
2-01-002-09;56,1
2-01-008-01;54,6
