"equipo","combustible","fe"
"CA","Gas Licuado de Petróleo","2.82"
"CA","Carbón","2.34"
"CA","Gas Natural","2.69"
"CA","Petróleo N 6","3.09"
"CA","Petróleo N 5","3.13"
"CA","Petróleo N 2 (Diesel)","3.12"
"CA","Leña","1.03"
"CF","Gas Licuado de Petróleo","2.82"
"CF","Carbón","2.34"
"CF","Gas Natural","2.69"
"CF","Petróleo N 6","3.09"
"CF","Petróleo N 5","3.13"
"CF","Petróleo N 2 (Diesel)","3.12"
"CF","Leña","1.03"
"IN","Gas Licuado de Petróleo","2.82"
"IN","Carbón","2.34"
"IN","Gas Natural","2.69"
"IN","Petróleo N 6","3.09"
"IN","Petróleo N 5","3.13"
"IN","Petróleo N 2 (Diesel)","3.12"
"IN","Leña","1.03"
"CG","Gas Natural","1.92"
"CG","Petróleo N 6","3.37"
"CG","Petróleo N 5","3.37"
"CG","Petróleo N 2 (Diesel)","3.06"
"CG","Carbón","2.72"
"CG","Leña","1.45"
"TG","Gas Natural","1.84"
"TG","Petróleo N 2 (Diesel)","3.06"
"EL","Gas Natural","2.69"
"EL","Petróleo N 2 (Diesel)","3.12"
